,Unnamed: 0,song name,song singer,song country,song country capital,event year,event country,song lyrics,song music,count participant in the event,amount of participant until this year,victories until this year,number song semi final,place semi final,score semi final,higher point in semi final,smaller point in_semi final,count country semi final,count country vote semi final,count country given semi final,day in week semi final,was in final or not,number song final,place final,score final,higher point in final,smaller point in final,count country final,count country vote final,count country given final,day in week final,song broadcaster,perform on internet,count music,count lyrics,until now be in final,win year before,reached the winning trio
28,28,Love Is On My Side,The Black Mamba,Portugal,Lisbon,2021,Rotterdam,TATANKA,TATANKA,39,52,1,12,4,239,12,1,17,19,13,Thursday,1,7,12,153,12,1,26,24,14,Saturday,Radiotelevisão Portuguesa,4,1,1,42,0,0
29,29,Amnesia,ROXEN,Romania,Bucharest,2021,Rotterdam,"Adelina Stîngă, Viky Red","Adelina Stîngă, Viky Red",39,21,0,13,12,85,12,1,16,12,14,Tuesday,0,-,-,-,-,-,-,-,13,Saturday,Televiziunea Română,6,2,2,18,0,0
30,30,Russian Woman,Manizha,Russia,Moscow,2021,Rotterdam,Manizha Sanghin,"Ori Avni, Ori Kaplan",39,23,1,3,3,225,12,1,16,18,11,Tuesday,1,5,9,204,12,1,26,29,15,Saturday,Channel One Russia,4,2,1,21,0,0
31,31,Adrenalina,Senhit,San Marino,City of San Marino,2021,Rotterdam,"Thomas Stengaard, Joy Deb, Linnea Deb, Jimmy Thörnfeldt, Kenny Silverdique, Suzi Pancenkov, Malou Linn Eloise Ruotsalainen, Chanel Tukia, Senhit Zadik Zadik, Dillard Tramar","Thomas Stengaard, Joy Deb, Linnea Deb, Jimmy Thörnfeldt, Kenny Silverdique, Suzi Pancenkov, Malou Linn Eloise Ruotsalainen, Chanel Tukia, Senhit Zadik Zadik, Dillard Tramar",39,11,0,1,9,118,12,1,17,18,11,Thursday,1,26,22,50,12,1,26,10,13,Saturday,Radio Televisione della Repubblica di San Marino,5,10,10,2,0,0
32,32,Loco Loco,Hurricane,Serbia,Belgrade,2021,Rotterdam,Sanja Vučić,"Nemanja Antonić, Darko Dimitrov",39,13,1,9,8,124,12,1,17,17,12,Thursday,1,8,15,102,12,1,26,13,14,Saturday,Radiotelevizija Srbije,4,2,1,9,0,0
33,33,Amen,Ana Soklič,Slovenia,Ljubljana,2021,Rotterdam,"Charlie Mason, Ana Soklič, Žiga Pirnat","Ana Soklič, Žiga Pirnat, Bojan Simončič",39,26,0,2,13,44,7,3,16,9,11,Tuesday,0,-,-,-,-,-,-,-,13,Saturday,Radiotelevizija Slovenija,3,3,3,15,0,0
34,34,Voy A Quedarme,Blas Cantó,Spain,Madrid,2021,Rotterdam,"Blas Cantó, Leroy Sánchez, Daniel Ortega, Dan Hammond","Blas Cantó, Leroy Sánchez, Daniel Ortega, Dan Hammond",39,60,2,-,-,-,-,-,-,-,-,-,1,13,24,6,4,2,26,2,13,Saturday,Televisión Española,5,4,4,59,0,0
35,35,Voices,Tusse,Sweden,Stockholm,2021,Rotterdam,"Joy Deb, Linnea Deb, Jimmy ""Joker"" Thörnfeldt, Anderz Wrethov","Joy Deb, Linnea Deb, Jimmy ""Joker"" Thörnfeldt, Anderz Wrethov",39,60,6,4,7,142,12,1,16,18,11,Tuesday,1,25,14,109,10,1,26,22,13,Saturday,Sveriges Television,6,4,4,58,0,0
36,36,Tout l'Univers,Gjon's Tears,Switzerland,Bern,2021,Rotterdam,"Wouter Hardy, Nina Sampermans, Gjon Muharremaj","Wouter Hardy, Nina Sampermans, Gjon Muharremaj, Xavier Michel",39,62,2,16,1,291,12,3,17,19,11,Thursday,1,11,3,432,12,1,26,37,14,Saturday,Schweizerische Radio- und Fernsehgesellschaft,4,4,3,48,0,1
37,37,Shum,Go_A,Ukraine,Kyiv,2021,Rotterdam,Kateryna Pavlenko,"Taras Shevchenko, Kateryna Pavlenko",39,16,2,15,2,267,12,1,16,18,13,Tuesday,1,19,5,364,12,1,26,38,14,Saturday,Public Broadcasting Corporation of Ukraine,5,2,1,15,0,0
38,38,Embers,James Newman,United Kingdom,London,2021,Rotterdam,"James Newman, Conor Blake, Danny Shah, Tom Hollings, Samuel Brennan","James Newman, Conor Blake, Danny Shah, Tom Hollings, Samuel Brennan",39,63,5,-,-,-,-,-,-,-,-,-,1,9,26,0,0,0,26,0,15,Saturday,British Broadcasting Corporation,5,5,5,62,0,0
39,39,Ktheju tokës,Jonida Maliqi,Albania,Tirana,2019,Tel Aviv,Eriona Rushiti,Eriona Rushiti,41,15,0,14,9,96,12,2,18,12,13,Thursday,1,2,17,90,12,1,26,12,13,Saturday,Radio Televizioni Shqiptar,4,1,1,8,0,0
40,40,Walking Out,Srbuk,Armenia,Yerevan,2019,Tel Aviv,Garik Papoyan,"Lost Capital, tokionine",41,12,0,1,16,49,10,1,18,9,12,Thursday,0,-,-,-,-,-,-,-,14,Saturday,Hayastani Hanrayin herrustaynkerut’yun,5,2,1,10,0,0
41,41,Zero Gravity,Kate Miller-Heidke,Australia,Canberra,2019,Tel Aviv,"Kate Miller-Heidke, Keir Nuttall","Kate Miller-Heidke, Keir Nuttall, Julian Hamilton",41,4,0,12,1,261,12,1,17,19,14,Tuesday,1,25,9,284,12,1,26,36,14,Saturday,Special Broadcasting Service,5,3,2,4,0,0
42,42,Limits,PÆNDA,Austria,Vienna,2019,Tel Aviv,PÆNDA,PÆNDA,41,51,2,9,17,21,8,1,18,8,12,Thursday,0,-,-,-,-,-,-,-,14,Saturday,Österreichischer Rundfunk,5,1,1,47,0,0
43,43,Truth,Chingiz,Azerbaijan,Baku,2019,Tel Aviv,"Borislav Milanov, Trey Campbell, Bo J, Hostess","Borislav Milanov, Trey Campbell, Bo J, Pablo Dinero, Hostess and Chingiz",41,11,1,18,5,224,12,1,18,19,13,Thursday,1,20,8,302,12,1,26,35,15,Saturday,İctimai Televiziya və Radio Yayımları Şirkəti,4,5,4,10,0,0
44,44,Like It,ZENA,Belarus,Minsk,2019,Tel Aviv,Yuliya Kireyeva,"Yuliya Kireyeva, Victor Drobysh",41,15,0,8,10,122,12,1,17,18,13,Tuesday,1,19,24,31,8,1,26,5,15,Saturday,Belaruskaja Tele-Radio Campanija,4,2,1,5,0,0
45,45,Wake Up,Eliot,Belgium,Brussels,2019,Tel Aviv,"Pierre Dumoulin, Eliot Vassamillet","Pierre Dumoulin, Eliot Vassamillet",41,61,1,10,13,70,10,1,17,13,13,Tuesday,0,-,-,-,-,-,-,-,14,Saturday,Radio télévision belge de la communauté française,4,2,2,50,0,0
46,46,The Dream,Roko,Croatia,Zagreb,2019,Tel Aviv,"Jacques Houdek, Charlie Mason, Andrea Čubrić",Jacques Houdek,41,24,0,10,14,64,10,1,18,15,12,Thursday,0,-,-,-,-,-,-,-,15,Saturday,Hrvatska Radiotelevizija,5,1,3,18,0,0
47,47,Replay,Tamta,Cyprus,Nicosia,2019,Tel Aviv,"Alex Papaconstantinou, Teddy Sky, Viktor Svensson, Albin Nedler, Kristoffer Fogelmark","Alex Papaconstantinou, Teddy Sky, Viktor Svensson, Albin Nedler, Kristoffer Fogelmark",41,35,0,1,9,149,12,1,17,18,13,Tuesday,1,11,13,109,12,1,26,16,14,Saturday,Cyprus Broadcasting Corporation,5,5,5,29,0,0
48,48,Friend of a Friend,Lake Malawi,Czech Republic,Prague,2019,Tel Aviv,"Jan Steinsdoerfer, Maciej Mikolaj Trybulec, Albert Černý","Jan Steinsdoerfer, Maciej Mikolaj Trybulec, Albert Černý",41,7,0,6,2,242,12,1,17,19,14,Tuesday,1,3,11,157,12,1,26,27,15,Saturday,Ceská Televize,5,3,3,2,0,0
